After sorting
A D X Y 
54.037 24 0 12.6491 22.0907 7.2111 34 32.249 36.7151 
66.2722 12.6491 12.6491 0 34.0588 16.1245 21.6333 20 24.4131 
32.249 46.0435 22.0907 34.0588 0 18.4391 53.8516 51.923 56.3205 
50.636 28.6356 7.2111 16.1245 18.4391 0 35.4401 33.5261 37.9473 
85.9069 17.088 34 21.6333 53.8516 35.4401 0 2 2.82843 
83.9524 16.4924 32.249 20 51.923 33.5261 2 0 4.47214 
88.295 19.6977 36.7151 24.4131 56.3205 37.9473 2.82843 4.47214 0 


Distance for  Cluster 2

4
0 78.1025 86.8332 86.0233 
78.1025 0 8.94427 10 
86.8332 8.94427 0 4.47214 
86.0233 10 4.47214 0 


Distance for  Cluster 3

7
0 89.1964 49.3964 35.7771 27.7849 100.439 94.4034 
89.1964 0 39.8497 53.8516 62.0967 28.0713 27.2029 
49.3964 39.8497 0 14.1421 22.3607 53.8145 48.4149 
35.7771 53.8516 14.1421 0 8.24621 65.2993 59.4643 
27.7849 62.0967 22.3607 8.24621 0 72.8011 66.8431 
100.439 28.0713 53.8145 65.2993 72.8011 0 6.32456 
94.4034 27.2029 48.4149 59.4643 66.8431 6.32456 0 


Distance for  Cluster 4

7
0 111.212 15.6205 50.9117 82.0244 94.7629 52.345 
111.212 0 95.6033 61.0574 31.6228 22 60.0333 
15.6205 95.6033 0 35.3836 66.4831 79.2465 36.8782 
50.9117 61.0574 35.3836 0 31.1127 43.8634 2 
82.0244 31.6228 66.4831 31.1127 0 12.8062 29.7321 
94.7629 22 79.2465 43.8634 12.8062 0 42.4264 
52.345 60.0333 36.8782 2 29.7321 42.4264 0 


Distance for  Cluster 5

9
0 80.6226 40 41.6173 48.3735 60.9262 31.6228 64.5601 60.1664 
80.6226 0 41.2311 40 35.7771 32.0624 53.8516 38.2099 40 
40 41.2311 0 2 10 24 14.1421 30.5941 27.2029 
41.6173 40 2 0 8 22 14.5602 28.6356 25.2982 
48.3735 35.7771 10 8 0 14 18.4391 20.8806 17.8885 
60.9262 32.0624 24 22 14 0 29.5296 8.48528 8.24621 
31.6228 53.8516 14.1421 14.5602 18.4391 29.5296 0 32.9848 28.6356 
64.5601 38.2099 30.5941 28.6356 20.8806 8.48528 32.9848 0 4.47214 
60.1664 40 27.2029 25.2982 17.8885 8.24621 28.6356 4.47214 0 


Distance for  Cluster 6

6
0 63.1506 54.9181 66.7533 54.5894 56.3205 
63.1506 0 8.24621 4.47214 8.94427 8.48528 
54.9181 8.24621 0 12 2 4.47214 
66.7533 4.47214 12 0 12.1655 10.7703 
54.5894 8.94427 2 12.1655 0 2.82843 
56.3205 8.48528 4.47214 10.7703 2.82843 0 


Distance for  Cluster 7

7
0 28.0713 52.1536 6 38 36.2215 14.5602 
28.0713 0 24.0832 22.0907 10.198 10 15.2315 
52.1536 24.0832 0 46.1736 14.5602 17.8885 38.833 
6 22.0907 46.1736 0 32 30.2655 8.94427 
38 10.198 14.5602 32 0 4.47214 24.3311 
36.2215 10 17.8885 30.2655 4.47214 0 22 
14.5602 15.2315 38.833 8.94427 24.3311 22 0 


Distance for  Cluster 8

10
0 5.65685 12.1655 16.1245 23.3238 12.8062 42.8019 20 34.4093 43.2666 
5.65685 0 16.1245 20.0998 28.8444 18.4391 48.4149 25.6125 40 48.8262 
12.1655 16.1245 0 4 16.1245 12.6491 38.6264 18 31.0483 39.8497 
16.1245 20.0998 4 0 14.5602 14.4222 37.3631 18.4391 30.2655 38.833 
23.3238 28.8444 16.1245 14.5602 0 12.1655 22.8035 8.94427 16 24.3311 
12.8062 18.4391 12.6491 14.4222 12.1655 0 30 7.2111 21.6333 30.5287 
42.8019 48.4149 38.6264 37.3631 22.8035 30 0 22.8035 8.48528 2.82843 
20 25.6125 18 18.4391 8.94427 7.2111 22.8035 0 14.4222 23.3238 
34.4093 40 31.0483 30.2655 16 21.6333 8.48528 14.4222 0 8.94427 
43.2666 48.8262 39.8497 38.833 24.3311 30.5287 2.82843 23.3238 8.94427 0 


Distance for  Cluster 9

8
0 26.8328 66.4831 84.119 55.3173 69.4262 54.5894 40.4475 
26.8328 0 39.8497 57.7235 30 44.0454 30.2655 17.088 
66.4831 39.8497 0 18.1108 14.4222 11.6619 17.8885 28.4253 
84.119 57.7235 18.1108 0 29.5296 16.9706 31.6228 44.7214 
55.3173 30 14.4222 29.5296 0 14.1421 4 15.2315 
69.4262 44.0454 11.6619 16.9706 14.1421 0 15.2315 29.1204 
54.5894 30.2655 17.8885 31.6228 4 15.2315 0 14.1421 
40.4475 17.088 28.4253 44.7214 15.2315 29.1204 14.1421 0 


Distance for  Cluster 10

2
0 64.2806 
64.2806 0 


