After sorting
A D X Y 
296 22 13 -26
304 2 23 -33
312 13 31 -34


CLUSTER 8
A D X Y 
0 0 0 0
313 18 51 -53


Distance for  Cluster 1

11
0 82.0366 96.5401 69.029 90 22.2036 72.9452 55.2268 82.4924 27.7849 31.305 
82.0366 0 15.8114 14.8661 13.3417 60.1415 17.1172 30.4631 19.2094 55.4437 53.0094 
96.5401 15.8114 0 27.5862 8.24621 74.411 25.5539 42.638 20.2237 69.3109 66.4831 
69.029 14.8661 27.5862 0 21.095 46.8615 7.61577 15.6525 17.0294 41.7253 38.9487 
90 13.3417 8.24621 21.095 0 67.8012 17.8045 35.3553 12.0416 62.482 59.4643 
22.2036 60.1415 74.411 46.8615 67.8012 0 50.774 33.121 60.4152 6.08276 10.0499 
72.9452 17.1172 25.5539 7.61577 17.8045 50.774 0 17.8045 10.198 45.2217 42.0119 
55.2268 30.4631 42.638 15.6525 35.3553 33.121 17.8045 0 27.2947 27.4591 24.2074 
82.4924 19.2094 20.2237 17.0294 12.0416 60.4152 10.198 27.2947 0 54.7083 51.3128 
27.7849 55.4437 69.3109 41.7253 62.482 6.08276 45.2217 27.4591 54.7083 0 4 
31.305 53.0094 66.4831 38.9487 59.4643 10.0499 42.0119 24.2074 51.3128 4 0 


Distance for  Cluster 2

12
0 76.4853 57.5674 74.0405 11.4018 54.3415 65.1153 40.0125 44.1814 64.2806 58.8558 33.5261 
76.4853 0 21.2603 12.1655 65.2993 26.4008 21.587 43.1856 44.6542 39.3192 44.3847 56.7274 
57.5674 21.2603 0 16.4924 46.1736 5.38516 10.2956 21.9317 23.7065 24.6982 27.1662 35.4683 
74.0405 12.1655 16.4924 0 62.6418 20.1246 11.4018 36.8917 36.7967 27.8927 33.6155 49.8197 
11.4018 65.2993 46.1736 62.6418 0 42.9535 53.7587 29.0689 33.7343 53.7587 48.7647 24.6982 
54.3415 26.4008 5.38516 20.1246 42.9535 0 11 17.0294 18.3576 21.095 22.561 30.4138 
65.1153 21.587 10.2956 11.4018 53.7587 11 0 26.4008 25.6125 18 22.8035 38.833 
40.0125 43.1856 21.9317 36.8917 29.0689 17.0294 26.4008 0 6.40312 25 21.095 13.6015 
44.1814 44.6542 23.7065 36.7967 33.7343 18.3576 25.6125 6.40312 0 20.0998 15.2315 13.4164 
64.2806 39.3192 24.6982 27.8927 53.7587 21.095 18 25 20.0998 0 7.2111 32.249 
58.8558 44.3847 27.1662 33.6155 48.7647 22.561 22.8035 21.095 15.2315 7.2111 0 26 
33.5261 56.7274 35.4683 49.8197 24.6982 30.4138 38.833 13.6015 13.4164 32.249 26 0 


Distance for  Cluster 3

7
0 21.5407 63.3246 63.9766 33.1059 52.3546 30.5287 
21.5407 0 41.7852 42.4853 11.6619 31.0644 10 
63.3246 41.7852 0 4.12311 30.3645 13.1529 33.7343 
63.9766 42.4853 4.12311 0 30.8707 12.1655 33.8378 
33.1059 11.6619 30.3645 30.8707 0 19.4165 4.47214 
52.3546 31.0644 13.1529 12.1655 19.4165 0 21.9317 
30.5287 10 33.7343 33.8378 4.47214 21.9317 0 


Distance for  Cluster 4

7
0 47.2017 42.8019 37.0135 18.0278 33.3766 24.1868 
47.2017 0 4.47214 10.2956 30.8707 33.3766 35.2278 
42.8019 4.47214 0 5.83095 26.4008 29.8329 31.0644 
37.0135 10.2956 5.83095 0 20.6155 26 26.0192 
18.0278 30.8707 26.4008 20.6155 0 18.6815 11.4018 
33.3766 33.3766 29.8329 26 18.6815 0 9.21954 
24.1868 35.2278 31.0644 26.0192 11.4018 9.21954 0 


Distance for  Cluster 5

7
0 25.2389 27.6586 31.1448 22.4722 49.6488 23.7697 
25.2389 0 32 37 34.2053 58.0345 39.9249 
27.6586 32 0 5 9.05539 26.0768 15.8114 
31.1448 37 5 0 9.84886 21.095 15 
22.4722 34.2053 9.05539 9.84886 0 27.313 7.2111 
49.6488 58.0345 26.0768 21.095 27.313 0 27.0185 
23.7697 39.9249 15.8114 15 7.2111 27.0185 0 


Distance for  Cluster 6

6
0 48.0521 61.9839 55.3263 62.2896 57.3149 
48.0521 0 14.0357 8.94427 15.5242 18.868 
61.9839 14.0357 0 7.81025 5.09902 17.4642 
55.3263 8.94427 7.81025 0 7 12.1655 
62.2896 15.5242 5.09902 7 0 13 
57.3149 18.868 17.4642 12.1655 13 0 


Distance for  Cluster 7

8
0 57.3149 47.5395 35.1141 42.72 29.0689 40.2244 46.0109 
57.3149 0 12.53 24.7386 19.2354 31.7805 29.4109 33.9706 
47.5395 12.53 0 13 6.7082 20.025 17.0294 22.4722 
35.1141 24.7386 13 0 7.61577 7.07107 11 19.0263 
42.72 19.2354 6.7082 7.61577 0 14.1421 10.6301 17.088 
29.0689 31.7805 20.025 7.07107 14.1421 0 12.2066 19.6977 
40.2244 29.4109 17.0294 11 10.6301 12.2066 0 8.06226 
46.0109 33.9706 22.4722 19.0263 17.088 19.6977 8.06226 0 


Distance for  Cluster 8

2
0 73.5527 
73.5527 0 


