After sorting
A D X Y 
58.2495 44.0454 15 35.609 0 48.2597 15.6205 
10 6.08276 51.2445 13 48.2597 0 63.4114 
73.4098 59.4643 24.0208 50.9902 15.6205 63.4114 0 


Distance for  Cluster 7

6
0 71.5891 80.8084 67.4759 55.5698 48.8467 
71.5891 0 9.21954 4.47214 19.9249 29.4109 
80.8084 9.21954 0 13.4536 28.178 37.5766 
67.4759 4.47214 13.4536 0 15.5242 25 
55.5698 19.9249 28.178 15.5242 0 9.48683 
48.8467 29.4109 37.5766 25 9.48683 0 


Distance for  Cluster 8

4
0 56.648 60.4401 30.0666 
56.648 0 5.83095 29.2062 
60.4401 5.83095 0 31.7648 
30.0666 29.2062 31.7648 0 


Distance for  Cluster 9

8
0 3.16228 17.1172 22.3607 21.0238 32.5576 32.6497 26.0192 
3.16228 0 16.0312 22.1359 18.868 31.1448 31.1127 23 
17.1172 16.0312 0 37.855 31.0644 44.7772 44.4185 28.8444 
22.3607 22.1359 37.855 0 14.2127 14.1421 15.0333 26.4008 
21.0238 18.868 31.0644 14.2127 0 13.9284 13.4164 12.2066 
32.5576 31.1448 44.7772 14.1421 13.9284 0 1.41421 23.0868 
32.6497 31.1127 44.4185 15.0333 13.4164 1.41421 0 22.0227 
26.0192 23 28.8444 26.4008 12.2066 23.0868 22.0227 0 


Distance for  Cluster 10

2
0 20.5183 
20.5183 0 


