After sorting
A D X Y 
38 32 0 4.47214 24.3311 34.2345 50.04 54.037 59.2284 
36.2215 30.2655 4.47214 0 22 32 48.0416 52.0384 58.2409 
14.5602 8.94427 24.3311 22 0 10 26.0768 30.0666 37.5766 
5.65685 4.47214 34.2345 32 10 0 16.1245 20.0998 28.8444 
12.1655 18.1108 50.04 48.0416 26.0768 16.1245 0 4 16.1245 
16.1245 22.0907 54.037 52.0384 30.0666 20.0998 4 0 14.5602 
23.3238 28.6356 59.2284 58.2409 37.5766 28.8444 16.1245 14.5602 0 


Distance for  Cluster 2

9
0 12.8062 42.8019 20 34.4093 43.2666 26.8328 66.4831 84.119 
12.8062 0 30 7.2111 21.6333 30.5287 14.5602 54.4059 72.2772 
42.8019 30 0 22.8035 8.48528 2.82843 17.2047 28.0713 46 
20 7.2111 22.8035 0 14.4222 23.3238 8 47.5395 65.5134 
34.4093 21.6333 8.48528 14.4222 0 8.94427 8.94427 34.2345 52.345 
43.2666 30.5287 2.82843 23.3238 8.94427 0 16.9706 26 44.0454 
26.8328 14.5602 17.2047 8 8.94427 16.9706 0 39.8497 57.7235 
66.4831 54.4059 28.0713 47.5395 34.2345 26 39.8497 0 18.1108 
84.119 72.2772 46 65.5134 52.345 44.0454 57.7235 18.1108 0 


Distance for  Cluster 3

9
0 55.3173 69.4262 54.5894 40.4475 64.2806 78.0256 54.037 66.2722 
55.3173 0 14.1421 4 15.2315 11.6619 27.7849 14 21.6333 
69.4262 14.1421 0 15.2315 29.1204 8.94427 18.868 21.2603 20.0998 
54.5894 4 15.2315 0 14.1421 10.198 26 10 18.4391 
40.4475 15.2315 29.1204 14.1421 0 24 38.833 16.1245 28.6356 
64.2806 11.6619 8.94427 10.198 24 0 16.1245 12.8062 12.1655 
78.0256 27.7849 18.868 26 38.833 16.1245 0 24 12.6491 
54.037 14 21.2603 10 16.1245 12.8062 24 0 12.6491 
66.2722 21.6333 20.0998 18.4391 28.6356 12.1655 12.6491 12.6491 0 


Distance for  Cluster 4

6
0 32.249 50.636 85.9069 83.9524 88.295 
32.249 0 18.4391 53.8516 51.923 56.3205 
50.636 18.4391 0 35.4401 33.5261 37.9473 
85.9069 53.8516 35.4401 0 2 2.82843 
83.9524 51.923 33.5261 2 0 4.47214 
88.295 56.3205 37.9473 2.82843 4.47214 0 


Distance for  Cluster 5

4
0 78.1025 86.8332 86.0233 
78.1025 0 8.94427 10 
86.8332 8.94427 0 4.47214 
86.0233 10 4.47214 0 


Distance for  Cluster 6

7
0 89.1964 49.3964 35.7771 27.7849 100.439 94.4034 
89.1964 0 39.8497 53.8516 62.0967 28.0713 27.2029 
49.3964 39.8497 0 14.1421 22.3607 53.8145 48.4149 
35.7771 53.8516 14.1421 0 8.24621 65.2993 59.4643 
27.7849 62.0967 22.3607 8.24621 0 72.8011 66.8431 
100.439 28.0713 53.8145 65.2993 72.8011 0 6.32456 
94.4034 27.2029 48.4149 59.4643 66.8431 6.32456 0 


Distance for  Cluster 7

7
0 111.212 15.6205 50.9117 82.0244 94.7629 52.345 
111.212 0 95.6033 61.0574 31.6228 22 60.0333 
15.6205 95.6033 0 35.3836 66.4831 79.2465 36.8782 
50.9117 61.0574 35.3836 0 31.1127 43.8634 2 
82.0244 31.6228 66.4831 31.1127 0 12.8062 29.7321 
94.7629 22 79.2465 43.8634 12.8062 0 42.4264 
52.345 60.0333 36.8782 2 29.7321 42.4264 0 


Distance for  Cluster 8

9
0 80.6226 40 41.6173 48.3735 60.9262 31.6228 64.5601 60.1664 
80.6226 0 41.2311 40 35.7771 32.0624 53.8516 38.2099 40 
40 41.2311 0 2 10 24 14.1421 30.5941 27.2029 
41.6173 40 2 0 8 22 14.5602 28.6356 25.2982 
48.3735 35.7771 10 8 0 14 18.4391 20.8806 17.8885 
60.9262 32.0624 24 22 14 0 29.5296 8.48528 8.24621 
31.6228 53.8516 14.1421 14.5602 18.4391 29.5296 0 32.9848 28.6356 
64.5601 38.2099 30.5941 28.6356 20.8806 8.48528 32.9848 0 4.47214 
60.1664 40 27.2029 25.2982 17.8885 8.24621 28.6356 4.47214 0 


Distance for  Cluster 9

6
0 63.1506 54.9181 66.7533 54.5894 56.3205 
63.1506 0 8.24621 4.47214 8.94427 8.48528 
54.9181 8.24621 0 12 2 4.47214 
66.7533 4.47214 12 0 12.1655 10.7703 
54.5894 8.94427 2 12.1655 0 2.82843 
56.3205 8.48528 4.47214 10.7703 2.82843 0 


Distance for  Cluster 10

3
0 28.0713 52.1536 
28.0713 0 24.0832 
52.1536 24.0832 0 


