After sorting
A D X Y 
60.4401 5.83095 0 31.7648 
30.0666 29.2062 31.7648 0 


Distance for  Cluster 8

8
0 3.16228 17.1172 22.3607 21.0238 32.5576 32.6497 26.0192 
3.16228 0 16.0312 22.1359 18.868 31.1448 31.1127 23 
17.1172 16.0312 0 37.855 31.0644 44.7772 44.4185 28.8444 
22.3607 22.1359 37.855 0 14.2127 14.1421 15.0333 26.4008 
21.0238 18.868 31.0644 14.2127 0 13.9284 13.4164 12.2066 
32.5576 31.1448 44.7772 14.1421 13.9284 0 1.41421 23.0868 
32.6497 31.1127 44.4185 15.0333 13.4164 1.41421 0 22.0227 
26.0192 23 28.8444 26.4008 12.2066 23.0868 22.0227 0 


Distance for  Cluster 9

6
0 20.5183 34.6554 43.1856 16.2788 40.8044 
20.5183 0 14.2127 22.8035 4.47214 21.0238 
34.6554 14.2127 0 8.60233 18.3848 8 
43.1856 22.8035 8.60233 0 26.9072 5.09902 
16.2788 4.47214 18.3848 26.9072 0 24.6982 
40.8044 21.0238 8 5.09902 24.6982 0 


Distance for  Cluster 10

5
0 38.833 37.6962 29.6142 18.6011 
38.833 0 8.544 28.1603 37.1214 
37.6962 8.544 0 20.8806 32.0156 
29.6142 28.1603 20.8806 0 14.8661 
18.6011 37.1214 32.0156 14.8661 0 


