After sorting
A D X Y 
10.7703 29.7321 27.7849 0 34.176 27.2029 26.0768 38.833 54.4059 43.0813 
44.9444 12.8062 8.24621 34.176 0 7.2111 15.2315 20.8806 34.4093 29.1204 
37.9473 12.6491 6.32456 27.2029 7.2111 0 10 20 35.3836 27.7849 
36.0555 22.3607 16.1245 26.0768 15.2315 10 0 13.4164 29.5296 19.799 
48.1664 32.249 26.0768 38.833 20.8806 20 13.4164 0 16.1245 8.24621 
63.1506 46.8615 41.0366 54.4059 34.4093 35.3836 29.5296 16.1245 0 12 
51.4198 40.2492 34 43.0813 29.1204 27.7849 19.799 8.24621 12 0 


Distance for  Cluster 5

8
0 29.7321 59.0931 63.561 38.833 48.4149 48.1664 49.5177 
29.7321 0 29.5296 34 12.6491 22.3607 23.4094 25.2982 
59.0931 29.5296 0 4.47214 22.0907 17.088 19.6977 20.5913 
63.561 34 4.47214 0 26.3059 20.3961 22.8035 23.4094 
38.833 12.6491 22.0907 26.3059 0 10 10.7703 12.6491 
48.4149 22.3607 17.088 20.3961 10 0 2.82843 4.47214 
48.1664 23.4094 19.6977 22.8035 10.7703 2.82843 0 2 
49.5177 25.2982 20.5913 23.4094 12.6491 4.47214 2 0 


Distance for  Cluster 6

7
0 36.7696 50.9902 50.9902 71.218 61.2209 72.111 
36.7696 0 14.4222 14.4222 34.9857 25.0599 36.7696 
50.9902 14.4222 0 0 20.5913 10.7703 22.8035 
50.9902 14.4222 0 0 20.5913 10.7703 22.8035 
71.218 34.9857 20.5913 20.5913 0 10 5.65685 
61.2209 25.0599 10.7703 10.7703 10 0 12.1655 
72.111 36.7696 22.8035 22.8035 5.65685 12.1655 0 


Distance for  Cluster 7

7
0 54.9181 43.8634 17.088 29.7321 41.7612 49.4773 
54.9181 0 13.4164 38.4187 26.9072 18.9737 18.1108 
43.8634 13.4164 0 26.8328 14.4222 6 10 
17.088 38.4187 26.8328 0 12.6491 24.7386 32.5576 
29.7321 26.9072 14.4222 12.6491 0 12.1655 20.0998 
41.7612 18.9737 6 24.7386 12.1655 0 8 
49.4773 18.1108 10 32.5576 20.0998 8 0 


Distance for  Cluster 8

3
0 61.1882 42.7551 
61.1882 0 18.4391 
42.7551 18.4391 0 


Distance for  Cluster 9

6
0 38.4708 56.3205 36.0555 14 14 
38.4708 0 18 4.47214 24.7386 24.7386 
56.3205 18 0 20.3961 42.4264 42.4264 
36.0555 4.47214 20.3961 0 22.0907 22.0907 
14 24.7386 42.4264 22.0907 0 0 
14 24.7386 42.4264 22.0907 0 0 


Distance for  Cluster 10

5
0 42.19 8.24621 28.6356 34 
42.19 0 34.0588 17.8885 16.9706 
8.24621 34.0588 0 20.5913 26.0768 
28.6356 17.8885 20.5913 0 5.65685 
34 16.9706 26.0768 5.65685 0 


