After sorting
A D X Y 
82.0244 31.1127 0 12.8062 29.7321 2 42.8019 41.6173 37.5766 
94.7629 43.8634 12.8062 0 42.4264 14.1421 55.3173 54.037 49.3964 
52.345 2 29.7321 42.4264 0 28.2843 13.4164 12.6491 12.6491 
80.6226 29.7321 2 14.1421 28.2843 0 41.2311 40 35.7771 
40 12.6491 42.8019 55.3173 13.4164 41.2311 0 2 10 
41.6173 12.1655 41.6173 54.037 12.6491 40 2 0 8 
48.3735 13.4164 37.5766 49.3964 12.6491 35.7771 10 8 0 


Distance for  Cluster 2

8
0 60.9262 31.6228 64.5601 60.1664 63.1506 54.9181 66.7533 
60.9262 0 29.5296 8.48528 8.24621 13.4164 14.1421 17.2047 
31.6228 29.5296 0 32.9848 28.6356 32.0624 24 36 
64.5601 8.48528 32.9848 0 4.47214 6 11.3137 8.94427 
60.1664 8.24621 28.6356 4.47214 0 5.65685 7.2111 10 
63.1506 13.4164 32.0624 6 5.65685 0 8.24621 4.47214 
54.9181 14.1421 24 11.3137 7.2111 8.24621 0 12 
66.7533 17.2047 36 8.94427 10 4.47214 12 0 


Distance for  Cluster 3

6
0 54.5894 56.3205 28.0713 52.1536 6 
54.5894 0 2.82843 26.6833 4.47214 48.6621 
56.3205 2.82843 0 28.2843 4.47214 50.3587 
28.0713 26.6833 28.2843 0 24.0832 22.0907 
52.1536 4.47214 4.47214 24.0832 0 46.1736 
6 48.6621 50.3587 22.0907 46.1736 0 


Distance for  Cluster 4

8
0 38 36.2215 14.5602 5.65685 12.1655 16.1245 23.3238 
38 0 4.47214 24.3311 34.2345 50.04 54.037 59.2284 
36.2215 4.47214 0 22 32 48.0416 52.0384 58.2409 
14.5602 24.3311 22 0 10 26.0768 30.0666 37.5766 
5.65685 34.2345 32 10 0 16.1245 20.0998 28.8444 
12.1655 50.04 48.0416 26.0768 16.1245 0 4 16.1245 
16.1245 54.037 52.0384 30.0666 20.0998 4 0 14.5602 
23.3238 59.2284 58.2409 37.5766 28.8444 16.1245 14.5602 0 


Distance for  Cluster 5

9
0 12.8062 42.8019 20 34.4093 43.2666 26.8328 66.4831 84.119 
12.8062 0 30 7.2111 21.6333 30.5287 14.5602 54.4059 72.2772 
42.8019 30 0 22.8035 8.48528 2.82843 17.2047 28.0713 46 
20 7.2111 22.8035 0 14.4222 23.3238 8 47.5395 65.5134 
34.4093 21.6333 8.48528 14.4222 0 8.94427 8.94427 34.2345 52.345 
43.2666 30.5287 2.82843 23.3238 8.94427 0 16.9706 26 44.0454 
26.8328 14.5602 17.2047 8 8.94427 16.9706 0 39.8497 57.7235 
66.4831 54.4059 28.0713 47.5395 34.2345 26 39.8497 0 18.1108 
84.119 72.2772 46 65.5134 52.345 44.0454 57.7235 18.1108 0 


Distance for  Cluster 6

9
0 55.3173 69.4262 54.5894 40.4475 64.2806 78.0256 54.037 66.2722 
55.3173 0 14.1421 4 15.2315 11.6619 27.7849 14 21.6333 
69.4262 14.1421 0 15.2315 29.1204 8.94427 18.868 21.2603 20.0998 
54.5894 4 15.2315 0 14.1421 10.198 26 10 18.4391 
40.4475 15.2315 29.1204 14.1421 0 24 38.833 16.1245 28.6356 
64.2806 11.6619 8.94427 10.198 24 0 16.1245 12.8062 12.1655 
78.0256 27.7849 18.868 26 38.833 16.1245 0 24 12.6491 
54.037 14 21.2603 10 16.1245 12.8062 24 0 12.6491 
66.2722 21.6333 20.0998 18.4391 28.6356 12.1655 12.6491 12.6491 0 


Distance for  Cluster 7

6
0 32.249 50.636 85.9069 83.9524 88.295 
32.249 0 18.4391 53.8516 51.923 56.3205 
50.636 18.4391 0 35.4401 33.5261 37.9473 
85.9069 53.8516 35.4401 0 2 2.82843 
83.9524 51.923 33.5261 2 0 4.47214 
88.295 56.3205 37.9473 2.82843 4.47214 0 


Distance for  Cluster 8

4
0 78.1025 86.8332 86.0233 
78.1025 0 8.94427 10 
86.8332 8.94427 0 4.47214 
86.0233 10 4.47214 0 


Distance for  Cluster 9

7
0 89.1964 49.3964 35.7771 27.7849 100.439 94.4034 
89.1964 0 39.8497 53.8516 62.0967 28.0713 27.2029 
49.3964 39.8497 0 14.1421 22.3607 53.8145 48.4149 
35.7771 53.8516 14.1421 0 8.24621 65.2993 59.4643 
27.7849 62.0967 22.3607 8.24621 0 72.8011 66.8431 
100.439 28.0713 53.8145 65.2993 72.8011 0 6.32456 
94.4034 27.2029 48.4149 59.4643 66.8431 6.32456 0 


Distance for  Cluster 10

3
0 111.212 15.6205 
111.212 0 95.6033 
15.6205 95.6033 0 


