After sorting
A D X Y 
0 6 78.0256 88.8144 80.6226 63.1506 
6 0 72.0278 82.8734 74.6726 57.2713 
78.0256 72.0278 0 14.1421 8.24621 18.868 
88.8144 82.8734 14.1421 0 8.24621 26 
80.6226 74.6726 8.24621 8.24621 0 18.1108 
63.1506 57.2713 18.868 26 18.1108 0 


Distance for  Cluster 4

7
0 89.822 58.2409 36.0555 19.6977 96.6644 87.6584 
89.822 0 32.0624 54.3323 70.7107 22 24.1661 
58.2409 32.0624 0 22.3607 38.833 40 32.5576 
36.0555 54.3323 22.3607 0 16.4924 60.8276 52.1536 
19.6977 70.7107 38.833 16.4924 0 76.9675 68 
96.6644 22 40 60.8276 76.9675 0 10 
87.6584 24.1661 32.5576 52.1536 68 10 0 


Distance for  Cluster 5

8
0 88.5889 37.7359 95.4149 80 64.405 98.4073 71.218 
88.5889 0 50.9902 10.198 15.2315 26.3059 18 22.0907 
37.7359 50.9902 0 57.6888 42.5206 26.9072 60.959 33.9411 
95.4149 10.198 57.6888 0 16.4924 31.305 8.24621 25.2982 
80 15.2315 42.5206 16.4924 0 15.6205 18.4391 8.94427 
64.405 26.3059 26.9072 31.305 15.6205 0 34.0588 7.2111 
98.4073 18 60.959 8.24621 18.4391 34.0588 0 27.2029 
71.218 22.0907 33.9411 25.2982 8.94427 7.2111 27.2029 0 


Distance for  Cluster 6

10
0 62.482 68.1175 71.0211 11.6619 62.7694 51.8845 62.6099 48.0833 31.0483 
62.482 0 5.65685 22.3607 51.614 21.2603 24.7386 25.6125 34.5254 41.2311 
68.1175 5.65685 0 21.2603 57.2014 22.3607 28.0713 26.8328 38.0526 46.1736 
71.0211 22.3607 21.2603 0 59.3633 8.48528 19.799 10.7703 27.7849 42.4264 
11.6619 51.614 57.2014 59.3633 0 51.1077 40.2492 50.9902 36.8782 20.0998 
62.7694 21.2603 22.3607 8.48528 51.1077 0 11.3137 4.47214 19.6977 33.9411 
51.8845 24.7386 28.0713 19.799 40.2492 11.3137 0 10.7703 10 22.6274 
62.6099 25.6125 26.8328 10.7703 50.9902 4.47214 10.7703 0 17.2047 32.8024 
48.0833 34.5254 38.0526 27.7849 36.8782 19.6977 10 17.2047 0 17.088 
31.0483 41.2311 46.1736 42.4264 20.0998 33.9411 22.6274 32.8024 17.088 0 


Distance for  Cluster 7

9
0 60.531 54.037 12.1655 28.0713 27.8568 22.3607 39.4462 31.6228 
60.531 0 8.48528 49.0306 88.2043 86.0233 80.025 94.7629 86.5794 
54.037 8.48528 0 42.19 82 80.399 74.4312 89.822 81.5843 
12.1655 49.0306 42.19 0 40.1995 39.8497 34.176 50.9902 42.9418 
28.0713 88.2043 82 40.1995 0 8.24621 11.3137 18.9737 16.1245 
27.8568 86.0233 80.399 39.8497 8.24621 0 6 12.8062 8 
22.3607 80.025 74.4312 34.176 11.3137 6 0 17.2047 10 
39.4462 94.7629 89.822 50.9902 18.9737 12.8062 17.2047 0 8.24621 
31.6228 86.5794 81.5843 42.9418 16.1245 8 10 8.24621 0 


Distance for  Cluster 8

3
0 37.2022 10 
37.2022 0 27.2029 
10 27.2029 0 


